gender,marital_status,city,education_level,department,income_class,age,years_experience,weekly_hours,bonus_percentage,performance_score,overtime_hours,monthly_income,predicted_income,income_gap,gap_flag
Other,Single,Surabaya,S1,Marketing,Low,39.0,10.0,42.3,6.5,64.3,5.8,7887,8353.211184594762,-466.211184594762,Fair
Female,Single,Surabaya,S1,IT,High,34.0,10.0,41.0,9.7,87.6,9.8,10870,9934.254813328049,935.7451866719512,Overpaid
Male,Married,Surabaya,SMA,HR,Low,40.0,4.0,42.3,12.7,61.5,12.3,6228,6122.277429347964,105.72257065203576,Fair
Female,Single,Jakarta,S1,Marketing,Low,47.0,4.0,42.2,9.9,81.6,13.3,7041,6163.730738005634,877.2692619943664,Overpaid
Male,Married,Surabaya,D3,IT,High,33.0,15.0,31.1,11.5,71.9,13.7,9657,10895.262770265923,-1238.2627702659229,Underpaid
Female,Married,Jakarta,D3,HR,High,33.0,12.0,43.2,7.4,73.3,1.9,11030,10831.960492782926,198.03950721707406,Fair
Male,Divorced,Jakarta,S1,HR,High,48.0,15.0,36.6,9.9,93.6,6.6,11961,11521.60219067672,439.39780932327994,Fair
Female,Single,Surabaya,S1,Sales,High,41.0,12.0,34.5,9.9,62.5,3.2,10393,10113.953937185974,279.0460628140263,Fair
Female,Single,Jakarta,D3,HR,High,31.0,11.0,34.5,9.9,80.9,10.9,10853,9848.043947436097,1004.9560525639026,Overpaid
Male,Married,Bandung,S2,IT,Low,39.0,1.0,42.2,9.9,80.5,3.4,4159,5021.1583196348565,-862.1583196348565,Underpaid
Male,Divorced,Surabaya,S1,Marketing,Low,31.0,10.0,31.6,7.4,64.2,8.8,7314,7532.513198627936,-218.5131986279357,Fair
Other,Married,Surabaya,D3,Sales,High,37.0,10.0,42.4,9.9,68.7,1.0,14143,9970.21777487226,4172.782225127739,Overpaid
Male,Married,Bandung,S1,IT,High,20.0,13.0,32.8,9.9,83.2,11.3,10444,10400.61992943927,43.38007056073002,Fair
Female,Single,Bandung,S2,HR,High,21.0,18.0,40.7,9.9,73.0,3.7,13680,13016.626192261014,663.3738077389862,Overpaid
Male,Single,Jakarta,SMA,Sales,High,31.0,13.0,41.2,6.6,70.4,5.8,12260,11130.704573486835,1129.2954265131648,Overpaid
Male,Single,Jakarta,S2,Finance,Low,27.0,6.0,44.4,10.7,84.6,1.4,7933,7304.765279188943,628.2347208110568,Overpaid
Female,Single,Bandung,S1,IT,High,38.0,10.0,48.9,8.7,72.3,18.3,10391,10538.413465700249,-147.4134657002487,Fair
Female,Married,Surabaya,S1,Sales,Low,28.0,11.0,33.2,7.9,66.1,2.7,7726,8123.704536877626,-397.7045368776262,Fair
Female,Married,Surabaya,SMA,Marketing,Low,24.0,5.0,39.7,10.9,82.3,8.2,7340,6347.915059621286,992.0849403787142,Overpaid
Female,Married,Bandung,S1,Sales,Low,47.0,8.0,38.6,9.9,78.8,1.0,7705,7438.246864685652,266.7531353143477,Fair
Female,Married,Bandung,S1,Finance,High,33.0,9.0,42.2,11.4,71.9,5.8,9606,9651.187896923306,-45.18789692330574,Fair
Male,Married,Surabaya,SMA,IT,High,35.0,18.0,41.1,9.9,71.4,9.8,12683,12838.761618350469,-155.76161835046878,Fair
Male,Married,Surabaya,S2,Sales,Low,24.0,0.0,38.2,11.5,65.9,11.5,5024,4382.0393362087,641.9606637913002,Overpaid
Male,Married,Jakarta,SMA,HR,High,35.0,16.0,37.8,9.9,82.3,6.4,12166,11932.959693752438,233.0403062475616,Fair
Male,Married,Bandung,SMA,IT,Low,36.0,5.0,34.4,9.9,71.4,9.8,6934,5879.299561857566,1054.700438142434,Overpaid
Other,Single,Bandung,S1,Sales,Low,26.0,3.0,44.9,14.2,67.3,7.2,6380,6156.532518161755,223.46748183824457,Fair
Female,Married,Bandung,S1,Sales,High,38.0,16.0,42.3,3.8,62.1,9.5,11304,12242.883237390652,-938.8832373906516,Underpaid
Male,Married,Surabaya,S1,IT,High,30.0,14.0,44.6,12.4,78.9,13.7,11094,11666.46631661512,-572.4663166151204,Underpaid
Female,Married,Jakarta,SMA,Marketing,High,33.0,16.0,38.4,9.9,69.9,8.3,10564,11857.969086045585,-1293.9690860455848,Underpaid
Female,Single,Surabaya,S2,HR,High,30.0,14.0,36.7,13.7,54.9,11.1,10856,11043.302037343572,-187.302037343572,Fair
Male,Single,Bandung,SMA,IT,High,50.0,20.0,34.6,8.1,63.0,9.8,11998,13054.52617217863,-1056.52617217863,Underpaid
Female,Single,Bandung,SMA,HR,High,35.0,13.0,41.8,9.9,72.7,8.4,10973,11158.688125920777,-185.68812592077666,Fair
Male,Single,Bandung,SMA,HR,Low,5.0,9.0,34.8,9.9,72.9,9.8,4361,7674.305111867589,-3313.3051118675894,Underpaid
Female,Married,Bandung,S1,IT,High,42.0,12.0,49.2,9.9,72.6,7.4,11734,11242.79358285361,491.20641714638987,Fair
Male,Married,Bandung,S2,Sales,High,25.0,16.0,33.5,9.9,71.2,13.5,10243,11615.730534329283,-1372.7305343292828,Underpaid
Female,Married,Surabaya,S1,Finance,Low,35.0,6.0,41.4,6.2,60.2,13.9,6183,6846.744893973562,-663.7448939735623,Underpaid
Male,Single,Jakarta,S1,HR,High,35.0,7.0,47.8,9.9,66.3,4.3,9655,9333.55114689647,321.4488531035295,Fair
Other,Single,Bandung,SMA,HR,Low,24.0,8.0,43.0,9.9,86.8,8.7,8619,7940.589123530135,678.4108764698649,Overpaid
Male,Married,Bandung,S1,Sales,Low,37.0,1.0,40.9,6.8,85.4,6.2,5434,5027.1588515721905,406.84114842780946,Fair
Male,Married,Bandung,D3,Finance,Low,41.0,10.0,35.2,9.9,80.8,14.0,8010,7943.9773800035155,66.02261999648454,Fair
Female,Married,Surabaya,D3,Marketing,Low,35.0,1.0,33.1,9.9,79.9,7.6,4771,4231.036740177002,539.9632598229982,Overpaid
Female,Married,Surabaya,SMA,HR,High,34.0,10.0,43.9,11.3,84.0,21.0,9248,10163.469040192584,-915.4690401925836,Underpaid
Female,Married,Bandung,S1,HR,High,33.0,14.0,47.5,9.9,63.8,11.1,11871,11917.826279000086,-46.82627900008629,Fair
Female,Married,Bandung,S1,IT,High,23.0,10.0,37.8,9.9,75.3,15.9,9271,9641.967895818267,-370.9678958182667,Fair
Female,Divorced,Bandung,S1,Sales,High,29.0,18.0,34.3,9.9,63.8,4.9,11268,12474.5822721996,-1206.5822721995992,Underpaid
Male,Divorced,Bandung,D3,Finance,Low,31.0,3.0,27.7,16.1,64.0,10.1,5184,4734.26703161597,449.73296838402985,Fair
Male,Married,Surabaya,S1,HR,High,38.0,13.0,39.4,13.6,84.5,4.8,10230,10900.91850731353,-670.9185073135304,Underpaid
Female,Married,Bandung,SMA,HR,Low,21.0,1.0,48.0,9.9,73.1,10.1,4205,5610.886847103414,-1405.8868471034139,Underpaid
Male,Single,Bandung,S1,Marketing,High,38.0,10.0,43.4,9.9,91.5,9.8,16112,10112.742195762969,5999.257804237031,Overpaid
Male,Married,Bandung,S1,Sales,Low,32.0,10.0,41.5,13.9,77.1,8.4,8334,8492.797273813798,-158.7972738137978,Fair
Female,Single,Surabaya,SMA,Finance,Low,30.0,6.0,38.0,10.8,67.2,5.7,7987,6683.756611088824,1303.2433889111762,Overpaid
Male,Married,Surabaya,S1,Finance,Low,43.0,9.0,40.0,13.3,85.2,4.1,8526,7938.509400088277,587.4905999117227,Overpaid
Female,Married,Jakarta,SMA,Marketing,Low,42.0,9.0,41.0,13.4,76.3,10.8,7163,7908.601253593115,-745.601253593115,Underpaid
Male,Married,Surabaya,S1,Sales,Low,28.0,11.0,29.5,13.3,81.8,6.5,7986,7888.308794255032,97.6912057449681,Fair
Female,Single,Bandung,SMA,HR,High,33.0,10.0,36.6,10.1,48.4,5.3,9399,9502.512845806763,-103.51284580676293,Fair
Male,Married,Surabaya,S1,Finance,High,38.0,13.0,35.7,7.9,77.4,13.7,10182,10591.636157199393,-409.636157199393,Fair
Male,Divorced,Bandung,S1,Sales,Low,43.0,8.0,37.3,9.9,69.9,9.0,7547,7382.2698341868745,164.7301658131255,Fair
Female,Married,Surabaya,S2,Finance,Low,31.0,0.0,42.8,9.9,61.1,12.0,5980,4713.221104307626,1266.7788956923741,Overpaid
Male,Married,Surabaya,S1,Sales,Low,34.0,9.0,39.5,13.1,74.4,1.3,8032,7893.218859510916,138.78114048908355,Fair
Male,Married,Jakarta,D3,Marketing,Low,5.0,2.0,39.6,9.9,85.9,12.5,4153,5312.233736352758,-1159.2337363527577,Underpaid
Female,Divorced,Surabaya,S1,Sales,High,25.0,10.0,46.6,9.9,97.7,6.4,11061,10575.306740408394,485.69325959160597,Fair
Male,Single,Jakarta,SMA,Marketing,Low,42.0,5.0,36.5,9.9,77.4,0.6,6571,6063.026526673195,507.9734733268051,Overpaid
